Worth,Age,Income Source,Residence,Citizenship,Marital Status,Children,Education
$94.1B,65,diversified,"Mumbai, India",India,Married,3,"Drop Out, Stanford University; Bachelor of Science in Engineering, University of Mumbai"
$74.8B,60,"commodities, infrastructure, Self Made","Ahmedabad, India",India,Married,2,
$22.4B,77,"software services, Self Made","Delhi, India",India,Married,1,"Bachelor of Arts/Science, PSG College of Technology"
$29.4B,67,"retail, investments, Self Made","Mumbai, India",India,Married,3,
$21.5B,81,vaccines,"Pune, India",India,Widowed,1,"Bachelor of Arts/Science, Pune University; Doctorate, Pune University"
$14.4B,72,steel,"London, United Kingdom",India,Married,2,"Bachelor of Arts/Science, St Xavier's College Calcutta"
$17.2B,72,steel,"Hisar, India",India,Widowed,9,
$14.8B,63,"banking, Self Made","Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai; Master of Business Administration, University of Mumbai"
$16.4B,construction,Ireland,4,,,,
$15.5B,55,commodities,"Mumbai, India",India,Married,3,"Master of Business Administration, London Business School; Bachelor of Arts/Science, University of Mumbai"
$15.2B,"consumer goods, real estate","Mumbai, India",India,,,,
$14.7B,64,"telecom, Self Made","Delhi, India",India,Married,3,"Bachelor of Arts/Science, Punjab University"
$14.4B,diversified,"Pune, India",India,,,,
$14.3B,66,"pharmaceuticals, Self Made","Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University"
$13.8B,diversified,"London, United Kingdom",United Kingdom,,,,
$11.8B,consumer goods,"Delhi, India",India,,,,
$11.7B,76,adhesives,"Mumbai, India",India,Married,2,"Bachelor of Science in Engineering, University of Mumbai; Master of Science, University of Wisconsin"
$8.6B,77,software services,"Bangalore, India",India,Married,2,"Bachelor of Arts/Science, Stanford University"
$6.4B,71,"pharmaceuticals, Self Made","Hyderabad, India",India,Married,2,
$7.1B,91,cement,"Kolkata, India",India,Widowed,2,"Bachelor of Arts/Science, Calcutta University"
$9.4B,"paints, Self Made","Delhi, India",India,Married,"Bachelor of Arts/Science, Delhi University",,
$8.6B,79,paints,"Mumbai, India",India,Married,3,"Master of Science, University of Akron; Bachelor of Arts/Science, University of Mumbai"
$9.5B,91,real estate,"Delhi, India",India,Widowed,3,"Bachelor of Arts/Science, Delhi University"
$7.6B,electrical equipment,"Delhi, India",India,,,,
$7.1B,"pharmaceuticals, power","Ahmedabad, India",India,"Bachelor of Arts/Science, Gujarat University",,,
$6.7B,81,paints,"Mumbai, India",India,Married,2,"Bachelor of Engineering, University of Mumbai; Master of Science, University of Mumbai"
$6.5B,88,"pharmaceuticals, Self Made","Ahmedabad, India",India,Married,3,
$6.5B,"pharmaceuticals, Self Made","Mumbai, India",India,,,,
$6.4B,financial services,"Delhi, India",India,,,,
$6.3B,71,consumer goods,"Mumbai, India",India,Married,2,
$6.25B,paints,India,3,"Bachelor of Arts/Science, Syracuse University; Bachelor of Arts/Science, University of Mumbai",,,
$3.9B,69,pharmaceuticals,"Ahmedabad, India",India,Married,2,"Bachelor of Arts/Science, Gujarat University; Master of Science, Gujarat University"
$5B,"airlines, Self Made","Delhi, India",India,"Bachelor of Science in Engineering, University of Waterloo",,,
$5.65B,pharmaceuticals,"Mumbai, India",India,,,,
$6B,80,motorcycles,"Delhi, India",India,Married,3,
$5.5B,"investments, Self Made",India,3,"Chartered Accountant, The Institute of Chartered Accountants of India; B.Com, University of Mumbai",,,
$2.7B,67,pharmaceuticals,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai; Master of Business Administration, University of Mumbai"
$5B,66,"retail, Self Made","Abu Dhabi, United Arab Emirates",India,Married,3,
$4.95B,69,diversified,"Delhi, India",India,Married,2,
$8B,67,"soft drinks, fast food","Delhi, India",India,Married,2,
$4.7B,diversified,"Chennai, India",India,,,,
$4.6B,66,"real estate, Self Made","Mumbai, India",India,Married,2,
$3.7B,65,pharmaceuticals,"Mumbai, India",India,Married,2,"Master of Business Administration, Boston University; B.Com, University of Mumbai"
$4.6B,76,"software services, Self Made","Bangalore, India",India,Married,2,"Master of Science, Indian Institute of Technology"
$3.6B,78,consumer goods,"Mumbai, India",India,Married,2,
$3B,78,"consumer goods, Self Made","Ahmedabad, India",India,Married,3,
$4.05B,42,"edtech, Self Made","Bangalore, India",India,Married,2,
$3.4B,67,"software services, Self Made","Bangalore, India",India,Married,1,"Master of Science, Indian Institute of Technology"
$3.6B,65,"auto parts, Self Made","Delhi, India",Australia,Married,2,"Bachelor of Arts/Science, Delhi University"
$3.97B,64,tires,"Mumbai, India",India,Married,2,
$3.95B,86,pharmaceuticals,"Mumbai, India",India,Married,"Master of Science, Cambridge University; Ph.D, Cambridge University",
$3.91B,59,"internet, Self Made","Delhi, India",India,Married,2,"Master of Business Administration, Indian Institute of Management, Ahmedabad; Bachelor of Arts/Science, St Stephen's College (India)"
$2.9B,69,"biopharmaceuticals, Self Made","Bangalore, India",India,Married,"Bachelor of Arts/Science, Bangalore University; Master of Science, Melbourne University",
$3.5B,68,motorcycles,"Delhi, India",India,Married,3,
$3.75B,54,"business software, Self Made","Pleasanton, California",India,Married,1,
$3.65B,75,agrochemicals,"Delhi, India",India,Married,3,
$3.6B,69,"cables & wires, Self Made","Mumbai, India",India,,,
$3.5B,67,"pharmaceuticals, Self Made","Delhi, India",India,Married,,
$3.8B,81,chemicals,"Delhi, India",India,Widowed,3,"Bachelor of Science in Engineering, University of Michigan"
$2.3B,75,cement,"Delhi, India",India,Married,2,"Bachelor of Commerce, Delhi University; Chartered Accountant, Institute of Chartered Accountants of India"
$2.9B,67,"software services, Self Made","Bangalore, India",India,Married,2,"Bachelor of Arts/Science, Indian Institute of Technology"
$3B,70,retail,"Dubai, United Arab Emirates",India,Married,3,
$1.9B,69,"mining, metals, Self Made","London, United Kingdom",India,Married,2,
$3.22B,61,"plastic pipes, Self Made","Ahmedabad, India",India,Married,2,
$3.9B,81,real estate,"Mumbai, India",India,Married,2,"LLB, University of Mumbai"
$3B,77,automobiles,"Pune, India",India,Married,4,
$2.7B,73,engineering,"Pune, India",India,Married,1,"Master of Science, Massachusetts Institute of Technology"
$2.1B,73,"dairy, Self Made","Chennai, India",India,Married,2,
$3.01B,pharmaceuticals,"Hyderabad, India",India,,,,
$3B,93,chemicals,"Delhi, India",India,Married,4,"Bachelor of Arts/Science, Delhi University"
$2.3B,91,tractors,"Delhi, India",India,Married,5,"Bachelor of Arts/Science, Punjab University; Master of Arts, Punjab University"
$2.9B,86,biscuits,"Mumbai, India",India,"Bachelor of Arts/Science, Massachusetts Institute of Technology",,
$2.89B,tractors,"Chennai, India",India,,,,
$2.85B,footwear,"Delhi, India",India,,,,
$2.82B,pharmaceuticals,"Mumbai, India",India,,,,
$3.5B,52,real estate,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai"
$2.3B,68,"software services, Self Made","Bangalore, India",India,Married,2,"Master of Science, Bangalore University"
$2.5B,57,"media, Self Made","Chennai, India",India,Married,1,"Master of Business Administration, University of Scranton"
$2.73B,64,"infrastructure, Self Made","Hyderabad, India",India,,,
$2.4B,61,diversified,"Kolkata, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University"
$2.7B,60,"auto parts, Self Made","Aurangabad, India",India,Married,2,"Master of Business Administration, University of Pittsburgh"
$2.3B,68,diversified,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, University of Mumbai"
$2.1B,50,"consumer goods, Self Made","Haridwar, India",India,Single,,
$2.63B,68,garments,"Bangalore, India",United Kingdom,Married,"Master of Science, De La Salle University",
$2B,64,diversified,"Mumbai, India",India,Married,2,"Bachelor of Arts/Science, Calcutta University; Master of Business Administration, International Institute for Management and Development"
$2.59B,"financial services, Self Made","Bangalore, India",India,,,,
$1.5B,73,medical diagnostics,"Delhi, India",India,Married,2,
$2.2B,90,"healthcare, Self Made","Chennai, India",India,Married,4,
$2.6B,69,"construction, Self Made","Dubai, United Arab Emirates",India,Married,2,
$1.6B,64,"pharmaceuticals, Self Made","Hyderabad, India",India,Married,2,
$1.9B,56,real estate,"Bangalore, India",India,Married,4,"Bachelor of Commerce, Bangalore University"
$1.1B,44,"financial technology, Self Made","Delhi, India",India,Married,1,"Bachelor of Science in Engineering, Delhi University"
$2.3B,70,"specialty chemicals, Self Made","Pune, India",India,Married,2,"Bachelor of Science in Engineering, Mumbai University"
$2.25B,pharmaceuticals,"Bangalore, India",India,,,,
$1.9B,67,"software services, Self Made","Bangalore, India",India,Married,2,"Master of Science, Boston University"
$2.1B,"chemicals, Self Made","Mumbai, India",India,"Bachelor of Science in Engineering, University of Mumbai",,,
$2.05B,65,chemicals,"Vadodara, India",India,Married,2,"Bachelor of Science, University of Mumbai"
$2.2B,70,"chemicals, Self Made","Mumbai, India",India,Married,2,"Master of Business Administration, Birla Institute of Technology and Science (BITS) - Pilani"
$1.95B,88,plastics,"Mumbai, India",India,,,
$1.4B,73,"specialty chemicals, Self Made","Mumbai, India",India,Married,"Bachelor of Engineering, Mumbai University; Master of Science in Engineering, University of Massachusetts",
